Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raft 1 person,0.1,0.5,0.8,1.2,1.4,1.4,1.4
Raft 4 person,0.1,0.8,1.3,1.8,2.2,2.4,2.4
Raft 6 person,0.1,1.0,1.5,2.3,2.7,2.9,2.9
Raft 8 person,0.1,1.1,1.7,2.5,2.9,3.2,3.2
Raft 10 person,0.2,1.2,1.8,2.7,3.2,3.5,3.5
Raft 15 person,0.2,1.3,2.0,3.0,3.6,4.0,4.5
Raft 20 person,0.2,1.4,2.2,3.4,4.1,4.6,5.2
Raft 25 person,0.2,1.5,2.4,3.7,4.5,5.0,5.7
Power Boat ≤ 15ft,0.1,0.9,1.3,1.8,2.1,2.2,2.2
Power Boat 20ft,0.2,1.6,2.5,3.8,4.6,5.2,5.2
Power Boat 33ft,0.2,2.1,3.4,5.6,7.0,8.1,9.6
Power Boat 53ft,0.3,2.6,4.5,8.3,11.3,13.3,16.7
Power Boat 78ft,0.3,2.7,5.0,9.8,13.6,16.8,21.9
Sail Boat 15ft,0.2,1.5,2.3,3.5,4.2,4.7,4.7
Sail Boat 20ft,0.2,1.8,2.8,4.3,5.3,6.0,6.0
Sail Boat 25ft,0.2,2.1,3.3,5.2,6.5,7.5,7.5
Sail Boat 30ft,0.2,2.2,3.7,6.1,7.8,9.1,11.0
Sail Boat 40ft,0.3,2.5,4.3,7.7,10.2,12.1,15.1
Sail Boat 50ft,0.3,2.6,4.6,8.6,11.5,13.9,17.6
Sail Boat 70ft,0.3,2.7,4.9,9.4,12.9,15.8,20.3
Sail Boat 83ft,0.3,2.8,5.1,10.0,13.9,17.2,22.4
Ship 120ft,0.3,2.8,5.4,11.1,16.0,20.2,27.1
Ship 225ft,0.3,2.9,5.6,12.5,18.9,24.8,35.0
Ship ≥ 300ft,0.3,2.9,5.7,13.2,20.7,27.9,41.5
