Search Object,1,3,5,10,15,20
Person in Water,0.2,0.2,0.3,0.3,0.3,0.3
Raft 1 person,0.7,1.3,1.7,2.3,2.6,2.7
Raft 4 person,0.7,1.7,2.2,3.1,3.5,3.9
Raft 6 person,0.8,1.9,2.6,3.6,4.3,4.7
Raft 8 person,0.8,2.0,2.7,3.8,4.4,4.9
Raft 10 person,0.8,2.0,2.8,4.0,4.8,5.3
Raft 15 person,0.9,2.2,3.0,4.3,5.1,5.7
Raft 20 person,0.9,2.3,3.3,4.9,5.8,6.5
Raft 25 person,0.9,2.4,3.5,5.2,6.3,7.0
Power Boat ≤ 15ft,0.4,0.8,1.1,1.5,1.6,1.8
Power Boat 20ft,0.8,1.5,2.2,3.3,4.0,4.5
Power Boat 33ft,0.8,1.9,2.9,4.7,5.9,6.8
Power Boat 53ft,0.9,2.4,3.9,7.0,9.3,11.1
Power Boat 78ft,0.9,2.5,4.3,8.3,11.4,14.0
Sail Boat 15ft,0.8,1.5,2.1,3.0,3.6,4.0
Sail Boat 20ft,0.8,1.7,2.5,3.7,4.6,5.1
Sail Boat 25ft,0.9,1.9,2.8,4.4,5.4,6.3
Sail Boat 30ft,0.9,2.1,3.2,5.3,6.6,7.7
Sail Boat 40ft,0.9,2.3,3.8,6.6,8.6,10.3
Sail Boat 50ft,0.9,2.4,4.0,7.3,9.7,11.6
Sail Boat 70ft,0.9,2.5,4.2,7.9,10.7,13.1
Sail Boat 83ft,0.9,2.5,4.4,8.3,11.6,14.2
Ship 120ft,1.4,2.5,4.6,9.3,13.2,16.6
Ship 225ft,1.4,2.6,4.9,10.3,15.5,20.2
Ship ≥ 300ft,1.4,2.6,4.9,10.9,16.8,22.5
